question,answer
"M?t lái xe mô tô dang di chuy?n trên du?ng t?nh giao thông (du?ng 2 làn) t?i ngã tu du?ng C, t?nh B vào lúc 22:30 ngày 12/5/2024, dã vi ph?m hai hành vi giao thông sau: m?t là không cho phép xe c?u thuong ti?p c?n khi xe c?u thuong dang di chuy?n trên làn trái, và hai là vu?t qua m?t chi?c xe d?p dang di chuy?n trên làn ph?i t?i di?m giao ti?p có bi?n báo ""C?m vu?t"" và không s? d?ng dèn pha khi tr?i t?i. Nh?ng hành vi vi ph?m này thu?c quy d?nh nào c?a Lu?t Giao thông du?ng b? Vi?t Nam?","Ð?i v?i tình hu?ng: M?t lái xe mô tô dang di chuy?n trên du?ng t?nh giao thông (du?ng 2 làn) t?i ngã tu du?ng C, t?nh B vào lúc 22:30 ngày 12/5/2024, dã vi ph?m hai hành vi giao thông sau: m?t là không cho phép xe c?u thuong ti?p c?n khi xe c?u thuong dang di chuy?n trên làn trái, và hai là vu?t qua m?t chi?c xe d?p dang di chuy?n trên làn ph?i t?i di?m giao ti?p có bi?n báo ""C?m vu?t"" và không s? d?ng dèn pha khi tr?i t?i. Nh?ng hành vi vi ph?m này thu?c quy d?nh nào c?a Lu?t Giao thông du?ng b? Vi?t Nam?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. Không cho phép xe c?u thuong ti?p c?n
Lái xe mô tô không cho phép xe c?u thuong ti?p c?n khi xe c?u thuong dang di chuy?n trên làn trái.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Vu?t qua xe d?p trên làn ph?i t?i di?m giao ti?p có bi?n báo ""C?m vu?t"" và không s? d?ng dèn pha khi tr?i t?i
Lái xe mô tô vu?t qua m?t chi?c xe d?p dang di chuy?n trên làn ph?i t?i di?m giao ti?p có bi?n báo ""C?m vu?t"" và không s? d?ng dèn pha khi tr?i t?i.
M?c ph?t ti?n: t? 2,000,000 – 6,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 2 tháng.
Can c?: Lu?t Giao thông du?ng b?, 41, Xe c?u thuong, xe c?u n?n, xe c?u h? ph?i du?c uu tiên và các phuong ti?n khác ph?i cho phép ti?p c?n.; Lu?t Giao thông du?ng b?, 46, Không du?c vu?t qua xe trên làn ph?i t?i di?m giao ti?p có bi?n báo ""C?m vu?t"".; Lu?t Giao thông du?ng b?, 45, Ph?i s? d?ng dèn pha khi tr?i t?i..
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 7,000,000 d?n 16,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 5 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 7,000,000 – 16,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 14h00, trên do?n du?ng qu?c l? 1A t?i khu v?c trung tâm thành ph? Ðà N?ng, m?t chi?c xe máy dang di chuy?n, ngu?i lái dã vi ph?m quy d?nh không d?i mu b?o hi?m và vu?t qua làn du?ng dành cho xe t?i mà không ki?m tra ch? tr?ng; trong tình hu?ng này, nh?ng quy d?nh giao thông nào du?c vi ph?m?","Ð?i v?i tình hu?ng: Vào lúc 14h00, trên do?n du?ng qu?c l? 1A t?i khu v?c trung tâm thành ph? Ðà N?ng, m?t chi?c xe máy dang di chuy?n, ngu?i lái dã vi ph?m quy d?nh không d?i mu b?o hi?m và vu?t qua làn du?ng dành cho xe t?i mà không ki?m tra ch? tr?ng; trong tình hu?ng này, nh?ng quy d?nh giao thông nào du?c vi ph?m?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2019, x? lý nhu sau:
1. Không d?i mu b?o hi?m khi lái xe máy
Ngu?i lái xe máy không d?i mu b?o hi?m khi di chuy?n trên du?ng.
M?c ph?t ti?n: t? 500,000 – 500,000 d?ng.
2. Vu?t qua xe t?i không ki?m tra ch? tr?ng
Ngu?i lái xe máy vu?t qua xe t?i mà không ki?m tra ch? tr?ng, vi ph?m quy d?nh v? vu?t qua xe t?i.
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? 2019, 60, Ngu?i lái xe máy ph?i d?i mu b?o hi?m khi di chuy?n trên du?ng.; Lu?t Giao thông du?ng b? 2019, 66, Ngu?i lái xe không du?c vu?t qua xe t?i, xe buýt, xe t?i t?i tr?ng l?n khi không ki?m tra ch? tr?ng..
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 1500000 d?n 1500000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 1,500,000 – 1,500,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 23h15 ngày 12/8/2023, trên du?ng t?nh thành D1 t?i ngã tu Hai Bà Trung – Tr?n Hung Ð?o, m?t chi?c xe máy màu xanh c?a anh Minh dã di vòng 3 du?ng chéo và lái xe khi say ru?u; anh Minh s? b? x? lý hình th?c và m?c ph?t nào theo Lu?t Giao thông Ðu?ng b? Vi?t Nam?","Ð?i v?i tình hu?ng: Vào lúc 23h15 ngày 12/8/2023, trên du?ng t?nh thành D1 t?i ngã tu Hai Bà Trung – Tr?n Hung Ð?o, m?t chi?c xe máy màu xanh c?a anh Minh dã di vòng 3 du?ng chéo và lái xe khi say ru?u; anh Minh s? b? x? lý hình th?c và m?c ph?t nào theo Lu?t Giao thông Ðu?ng b? Vi?t Nam?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. di vòng
di vòng 3 du?ng chéo
M?c ph?t ti?n: t? 500,000 – 1,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. lái xe khi say ru?u
lái xe khi say ru?u
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
Can c?: Lu?t Giao thông du?ng b?, 55, di vòng; Lu?t Giao thông du?ng b?, 56, lái xe khi say ru?u.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 1500000 d?n 4000000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 1,500,000 – 4,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Vào lúc 10:30 sáng, trên du?ng b? t?nh Bình Ð?nh, giao l? chéo du?ng cao t?c Hà N?i - Ðà N?ng t?i di?m giao di?m gi?a du?ng s? 1 và du?ng sông, m?t ngu?i lái xe t?i t?i hàng (dang ký bi?n s? 5A12345) dã th?c hi?n hai hành vi vi ph?m giao thông: 1) di ngu?c chi?u giao thông khi vào ch? giao l?, và 2) vu?t quá t?c d? quy d?nh 60 km/h trên do?n du?ng th?t h?p có gi?i h?n t?c d? 40 km/h. V?y dây là nh?ng vi ph?m nào theo Lu?t Giao thông Ðu?ng b? Vi?t Nam và h?u qu? pháp lý có th? áp d?ng cho ngu?i lái xe?","Ð?i v?i tình hu?ng: Vào lúc 10:30 sáng, trên du?ng b? t?nh Bình Ð?nh, giao l? chéo du?ng cao t?c Hà N?i - Ðà N?ng t?i di?m giao di?m gi?a du?ng s? 1 và du?ng sông, m?t ngu?i lái xe t?i t?i hàng (dang ký bi?n s? 5A12345) dã th?c hi?n hai hành vi vi ph?m giao thông: 1) di ngu?c chi?u giao thông khi vào ch? giao l?, và 2) vu?t quá t?c d? quy d?nh 60 km/h trên do?n du?ng th?t h?p có gi?i h?n t?c d? 40 km/h. V?y dây là nh?ng vi ph?m nào theo Lu?t Giao thông Ðu?ng b? Vi?t Nam và h?u qu? pháp lý có th? áp d?ng cho ngu?i lái xe?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? Vi?t Nam, x? lý nhu sau:
1. Ði ngu?c chi?u giao thông
Lái xe t?i vào ch? giao l? ngu?c chi?u giao thông
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Vu?t quá t?c d? quy d?nh
Lái xe t?i vu?t t?c d? 60 km/h trên do?n du?ng th?t h?p có gi?i h?n 40 km/h
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? Vi?t Nam, 70, Ði ngu?c chi?u giao thông; Lu?t Giao thông du?ng b? Vi?t Nam, 71, Vu?t quá t?c d? quy d?nh.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 2000000 d?n 6000000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 2,000,000 – 6,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"T?i lúc 23h00, 1 chi?c xe máy dang di chuy?n trên du?ng cao t?c ? c?ng Châu B v?a vu?t quá t?c d? quy d?nh 90 km/h và không deo mu b?o hi?m, d?ng th?i m?t chi?c xe t?i t?i hàng trên du?ng cùng tuy?n dã vu?t quá gi?i h?n t?c d? 80 km/h và r? trái vào vòng giao thông khi tín hi?u là màu d?. B?n dánh giá quy d?nh lu?t giao thông nào áp d?ng cho hai hành vi vi ph?m này?","Ð?i v?i tình hu?ng: T?i lúc 23h00, 1 chi?c xe máy dang di chuy?n trên du?ng cao t?c ? c?ng Châu B v?a vu?t quá t?c d? quy d?nh 90 km/h và không deo mu b?o hi?m, d?ng th?i m?t chi?c xe t?i t?i hàng trên du?ng cùng tuy?n dã vu?t quá gi?i h?n t?c d? 80 km/h và r? trái vào vòng giao thông khi tín hi?u là màu d?. B?n dánh giá quy d?nh lu?t giao thông nào áp d?ng cho hai hành vi vi ph?m này?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2005, x? lý nhu sau:
1. Xe máy vu?t t?c d? 90 km/h trên du?ng cao t?c
Vu?t t?c d? quy d?nh trên du?ng cao t?c t?i c?ng Châu B lúc 23h00.
M?c ph?t ti?n: t? 3,000,000 – 5,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
2. Xe máy không deo mu b?o hi?m
Không deo mu b?o hi?m khi di?u khi?n xe máy.
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
3. Xe t?i vu?t t?c d? 80 km/h trên du?ng cùng tuy?n
Vu?t t?c d? quy d?nh trên du?ng cùng tuy?n.
M?c ph?t ti?n: t? 3,000,000 – 5,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
4. Xe t?i r? trái vào vòng giao thông khi tín hi?u d?
R? trái vào vòng giao thông khi tín hi?u là màu d?.
M?c ph?t ti?n: t? 3,000,000 – 5,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? 2005, 59, 1; Lu?t Giao thông du?ng b? 2005, 60, 1; Lu?t Giao thông du?ng b? 2005, 59, 1; Lu?t Giao thông du?ng b? 2005, 62, 1.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 10,000,000 d?n 18,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 10,000,000 – 18,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"Vào lúc 19:30 phút th? 4, trên du?ng qu?c l? 1A, g?n khu v?c giao l? Tân An, m?t chi?c xe t?i t?i hàng nh? dang di chuy?n trên m?t du?ng m?t chi?u, khi d?n giao l? v?i du?ng 2, xe ti?p t?c di chuy?n ngay sau khi tín hi?u giao thông dã chuy?n sang màu d?, d?ng th?i vu?t quá t?c d? quy d?nh 60 km/h cho khu v?c này. Ngoài ra, chi?c xe còn không d?i mu b?o hi?m cho ngu?i lái và không d?i dây an toàn cho hành khách. H?i r?ng trong tình hu?ng này, nh?ng vi ph?m giao thông nào s? du?c x? lý theo pháp lu?t hi?n hành và m?c ph?t tuong ?ng?","Ð?i v?i tình hu?ng: Vào lúc 19:30 phút th? 4, trên du?ng qu?c l? 1A, g?n khu v?c giao l? Tân An, m?t chi?c xe t?i t?i hàng nh? dang di chuy?n trên m?t du?ng m?t chi?u, khi d?n giao l? v?i du?ng 2, xe ti?p t?c di chuy?n ngay sau khi tín hi?u giao thông dã chuy?n sang màu d?, d?ng th?i vu?t quá t?c d? quy d?nh 60 km/h cho khu v?c này. Ngoài ra, chi?c xe còn không d?i mu b?o hi?m cho ngu?i lái và không d?i dây an toàn cho hành khách. H?i r?ng trong tình hu?ng này, nh?ng vi ph?m giao thông nào s? du?c x? lý theo pháp lu?t hi?n hành và m?c ph?t tuong ?ng?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2008 (s?a d?i, b? sung 2019), x? lý nhu sau:
1. Vi ph?m tín hi?u giao thông (di qua khi tín hi?u chuy?n sang d?)
Xe t?i ti?p t?c di chuy?n ngay sau khi tín hi?u giao thông chuy?n sang màu d?.
M?c ph?t ti?n: t? 3,000,000 – 5,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
2. Vi ph?m t?c d?
Xe t?i vu?t quá t?c d? quy d?nh 60 km/h cho khu v?c.
M?c ph?t ti?n: t? 3,000,000 – 5,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
3. Không d?i mu b?o hi?m cho ngu?i lái
Ngu?i lái xe t?i không d?i mu b?o hi?m.
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
4. Không d?i dây an toàn cho hành khách
Hành khách trên xe t?i không d?i dây an toàn.
M?c ph?t ti?n: t? 1,000,000 – 3,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? 2008 (s?a d?i, b? sung 2019), 68, Ði?u 68. Vi ph?m quy d?nh v? tín hi?u giao thông; Lu?t Giao thông du?ng b? 2008 (s?a d?i, b? sung 2019), 70, Ði?u 70. Vi ph?m t?c d?; Lu?t Giao thông du?ng b? 2008 (s?a d?i, b? sung 2019), 71, Ði?u 71. Vi ph?m quy d?nh v? an toàn giao thông (mu b?o hi?m, dây an toàn).
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 8,000,000 d?n 16,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 18 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 8,000,000 – 16,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Trong m?t tình hu?ng x?y ra vào lúc 4 gi? chi?u ngày 15 tháng 6 nam 2023, t?i du?ng cao t?c Hoàng Li?t, t?nh Th? Ð?c, m?t chi?c ô tô riêng dang di chuy?n v?i t?c d? 110 km/h (di quá gi?i h?n 90 km/h) và vào vòng tròn giao thông khi dèn giao thông dang tín hi?u d?. Xác d?nh nh?ng hành vi vi ph?m giao thông nào mà ngu?i lái xe dã ph?m ph?i và nh?ng quy d?nh pháp lu?t liên quan.","Ð?i v?i tình hu?ng: Trong m?t tình hu?ng x?y ra vào lúc 4 gi? chi?u ngày 15 tháng 6 nam 2023, t?i du?ng cao t?c Hoàng Li?t, t?nh Th? Ð?c, m?t chi?c ô tô riêng dang di chuy?n v?i t?c d? 110 km/h (di quá gi?i h?n 90 km/h) và vào vòng tròn giao thông khi dèn giao thông dang tín hi?u d?. Xác d?nh nh?ng hành vi vi ph?m giao thông nào mà ngu?i lái xe dã ph?m ph?i và nh?ng quy d?nh pháp lu?t liên quan.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b? 2019, x? lý nhu sau:
1. Vi ph?m t?c d? vu?t quá gi?i h?n 20 km/h
Ô tô di chuy?n 110 km/h trên gi?i h?n 90 km/h.
M?c ph?t ti?n: t? 10,000,000 – 20,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Vi ph?m tín hi?u giao thông: vào vòng tròn giao thông khi dèn d?
Ô tô vào vòng tròn giao thông khi tín hi?u d?.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
Can c?: Lu?t Giao thông du?ng b? 2019, 74, Vi ph?m quy d?nh v? t?c d? khi vu?t quá gi?i h?n 20 km/h; Lu?t Giao thông du?ng b? 2019, 71, Vi ph?m quy d?nh v? tín hi?u giao thông.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 15000000 d?n 30000000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 15,000,000 – 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng."
"M?t lái xe xe máy ? du?ng ph? giao thông dô th?, lúc 7 gi? t?i, dang di chuy?n trên du?ng b? có 4 làn xe, t?c d? di chuy?n 65 km/h khi t?c d? quy d?nh là 50 km/h, d?ng th?i l? tru?t t?i giao l? có dèn tín hi?u d?; bên c?nh dó, lái xe còn không d?i mu b?o hi?m. Trong tình hu?ng này, các hành vi vi ph?m giao thông nào mà ngu?i lái xe dã ph?m?","Ð?i v?i tình hu?ng: M?t lái xe xe máy ? du?ng ph? giao thông dô th?, lúc 7 gi? t?i, dang di chuy?n trên du?ng b? có 4 làn xe, t?c d? di chuy?n 65 km/h khi t?c d? quy d?nh là 50 km/h, d?ng th?i l? tru?t t?i giao l? có dèn tín hi?u d?; bên c?nh dó, lái xe còn không d?i mu b?o hi?m. Trong tình hu?ng này, các hành vi vi ph?m giao thông nào mà ngu?i lái xe dã ph?m?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông du?ng b?, x? lý nhu sau:
1. Vu?t quá t?c d? quy d?nh
Ðang di chuy?n v?i t?c d? 65 km/h khi t?c d? quy d?nh là 50 km/h trên du?ng b? có 4 làn xe.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
2. L? tru?t t?i giao l? có dèn tín hi?u d?
Lái xe không d?ng l?i khi dèn tín hi?u d?.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
3. Không d?i mu b?o hi?m
Lái xe không d?i mu b?o hi?m khi lái xe máy.
M?c ph?t ti?n: t? 5,000,000 – 10,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
Can c?: Lu?t Giao thông du?ng b?, 71, Vi ph?m t?c d? quy d?nh; Lu?t Giao thông du?ng b?, 73, Vi ph?m tín hi?u giao thông; Lu?t Giao thông du?ng b?, 78, Vi ph?m b?o h? ngu?i lái xe.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 15,000,000 d?n 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 3 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 15,000,000 – 30,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 1 tháng."
"Vào ngày 15 tháng 8 nam 2023 lúc 20:45, t?i ngã tu du?ng Võ Van Ki?t, du?ng ph? 2, Thành ph? H? Chí Minh, m?t chi?c xe máy màu xanh di chuy?n trên du?ng hai làn phía dông không deo mu b?o hi?m khi vu?t qua dèn giao thông d? và ngay sau dó ti?p c?n m?t chi?c xe t?i t?i hàng, không gi? kho?ng cách an toàn và vu?t qua xe t?i ngay tru?c khi dèn chuy?n sang xanh. Trong tình hu?ng này, vi ph?m giao thông nào du?c coi là vi ph?m theo Lu?t Giao thông V?n t?i Vi?t Nam và nh?ng hình th?c tr?ng ph?t có th? áp d?ng?","Ð?i v?i tình hu?ng: Vào ngày 15 tháng 8 nam 2023 lúc 20:45, t?i ngã tu du?ng Võ Van Ki?t, du?ng ph? 2, Thành ph? H? Chí Minh, m?t chi?c xe máy màu xanh di chuy?n trên du?ng hai làn phía dông không deo mu b?o hi?m khi vu?t qua dèn giao thông d? và ngay sau dó ti?p c?n m?t chi?c xe t?i t?i hàng, không gi? kho?ng cách an toàn và vu?t qua xe t?i ngay tru?c khi dèn chuy?n sang xanh. Trong tình hu?ng này, vi ph?m giao thông nào du?c coi là vi ph?m theo Lu?t Giao thông V?n t?i Vi?t Nam và nh?ng hình th?c tr?ng ph?t có th? áp d?ng?
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông V?n t?i Vi?t Nam, x? lý nhu sau:
1. Không d?i mu b?o hi?m khi di chuy?n trên du?ng
Xe máy không d?i mu b?o hi?m khi di chuy?n trên du?ng hai làn phía dông.
M?c ph?t ti?n: t? 500,000 – 500,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 3 tháng.
2. Vu?t dèn giao thông d?
Xe máy vu?t qua dèn giao thông d? t?i ngã tu.
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
3. Không gi? kho?ng cách an toàn và vu?t xe t?i quá g?n
Xe máy không gi? kho?ng cách an toàn và vu?t xe t?i ngay tru?c khi dèn chuy?n sang xanh.
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 6 tháng.
Can c?: Lu?t Giao thông V?n t?i Vi?t Nam, 55, di?u 55; Lu?t Giao thông V?n t?i Vi?t Nam, 56, di?u 56; Lu?t Giao thông V?n t?i Vi?t Nam, 57, di?u 57.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 2500000 d?n 2500000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 2,500,000 – 2,500,000 d?ng), và có nguy co b? tu?c GPLX t?i da 6 tháng."
"Vào lúc 7 gi? sáng ngày 20/5/2024, t?i giao l? du?ng cao t?c Vi?t Trì–Hu?, m?t chi?c xe t?i dang ch?y v?i t?c d? 140 km/h (vu?t quá gi?i h?n 100 km/h) và không b?t còi khi vào h?m giao thông; ngay d?ng th?i, m?t chi?c xe máy dang di ngu?c chi?u trên m?t du?ng chính và không d?i mu b?o hi?m khi tham gia giao thông du?ng b?. Hãy nêu các quy d?nh vi ph?m giao thông mà hai phuong ti?n này dã vi ph?m và m?c ph?t tuong ?ng theo Lu?t Giao thông V?n t?i Vi?t Nam.","Ð?i v?i tình hu?ng: Vào lúc 7 gi? sáng ngày 20/5/2024, t?i giao l? du?ng cao t?c Vi?t Trì–Hu?, m?t chi?c xe t?i dang ch?y v?i t?c d? 140 km/h (vu?t quá gi?i h?n 100 km/h) và không b?t còi khi vào h?m giao thông; ngay d?ng th?i, m?t chi?c xe máy dang di ngu?c chi?u trên m?t du?ng chính và không d?i mu b?o hi?m khi tham gia giao thông du?ng b?. Hãy nêu các quy d?nh vi ph?m giao thông mà hai phuong ti?n này dã vi ph?m và m?c ph?t tuong ?ng theo Lu?t Giao thông V?n t?i Vi?t Nam.
Theo Lu?t Giao thông du?ng b? Vi?t Nam, Lu?t Giao thông V?n t?i Vi?t Nam, x? lý nhu sau:
1. Vu?t quá gi?i h?n t?c d?
Xe t?i ch?y 140 km/h trên du?ng cao t?c Vi?t Trì–Hu?, gi?i h?n 100 km/h
M?c ph?t ti?n: t? 1,000,000 – 1,000,000 d?ng.
Hình ph?t b? sung: có th? b? tu?c Gi?y phép lái xe 1 tháng.
2. Không b?t còi khi vào h?m giao thông
Không b?t còi khi vào h?m giao thông
M?c ph?t ti?n: t? 500,000 – 500,000 d?ng.
3. Không d?i mu b?o hi?m
Xe máy di ngu?c chi?u trên m?t du?ng chính và không d?i mu b?o hi?m khi tham gia giao thông du?ng b?
M?c ph?t ti?n: t? 500,000 – 500,000 d?ng.
Can c?: Lu?t Giao thông V?n t?i Vi?t Nam, 84, Ði?u 84; Lu?t Giao thông V?n t?i Vi?t Nam, 86, Ði?u 86; Lu?t Giao thông V?n t?i Vi?t Nam, 86, Ði?u 86.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng t? 2,000,000 d?n 2,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 1 tháng.
N?u vi ph?m d?ng th?i, ti?n ph?t du?c c?ng d?n (t?ng kho?ng 2,000,000 – 2,000,000 d?ng), và có nguy co b? tu?c GPLX t?i da 1 tháng."
